"authenticate-oauth","1.6.0.1","https://src.fedoraproject.org/rpms/ghc-authenticate-oauth"
"auto-update","0.1.6","https://src.fedoraproject.org/rpms/ghc-auto-update"
"aws","0.22","https://src.fedoraproject.org/rpms/ghc-aws"
"base","4.13.0.0","https://src.fedoraproject.org/rpms/ghc"
"base-compat","0.11.1","https://src.fedoraproject.org/rpms/ghc-base-compat"
"base-compat-batteries","0.11.1","https://src.fedoraproject.org/rpms/ghc-base-compat-batteries"
"base-orphans","0.8.2","https://src.fedoraproject.org/rpms/ghc-base-orphans"
"base-prelude","1.3","https://src.fedoraproject.org/rpms/ghc-base-prelude"
"base-unicode-symbols","0.2.4.2","https://src.fedoraproject.org/rpms/ghc-base-unicode-symbols"
"base16-bytestring","0.1.1.7","https://src.fedoraproject.org/rpms/ghc-base16-bytestring"
"base64-bytestring","1.0.0.3","https://src.fedoraproject.org/rpms/ghc-base64-bytestring"
"basement","0.0.11","https://src.fedoraproject.org/rpms/ghc-basement"
"basic-prelude","0.7.0","https://src.fedoraproject.org/rpms/ghc-basic-prelude"
"bench","1.0.12","https://src.fedoraproject.org/rpms/bench"
"bencode","0.6.1.1","https://src.fedoraproject.org/rpms/ghc-bencode"
"bifunctors","5.5.7","https://src.fedoraproject.org/rpms/ghc-bifunctors"
"binary","0.8.7.0","https://src.fedoraproject.org/rpms/ghc"
"binary-orphans","1.0.1","https://src.fedoraproject.org/rpms/ghc-criterion"
"binary-shared","0.8.3","https://src.fedoraproject.org/rpms/ghc-binary-shared"
"bindings-DSL","1.0.25","https://src.fedoraproject.org/rpms/ghc-bindings-DSL"
"bitarray","0.0.1.1","https://src.fedoraproject.org/rpms/ghc-bitarray"
"blaze-builder","0.4.1.0","https://src.fedoraproject.org/rpms/ghc-blaze-builder"
"blaze-html","0.9.1.2","https://src.fedoraproject.org/rpms/ghc-blaze-html"
"blaze-markup","0.8.2.7","https://src.fedoraproject.org/rpms/ghc-blaze-markup"
"blaze-textual","0.2.1.0","https://src.fedoraproject.org/rpms/ghc-blaze-textual"
"bloomfilter","2.0.1.0","https://src.fedoraproject.org/rpms/ghc-bloomfilter"
"bower-json","1.0.0.1","https://src.fedoraproject.org/rpms/ghc-bower-json"
"boxes","0.1.5","https://src.fedoraproject.org/rpms/ghc-boxes"
"brainfuck","0.1.0.3","https://src.fedoraproject.org/rpms/brainfuck"
"brick","0.52.1","https://src.fedoraproject.org/rpms/ghc-brick"
"bsb-http-chunked","0.0.0.4","https://src.fedoraproject.org/rpms/ghc-bsb-http-chunked"
"bugzilla-redhat","0.3.1","https://src.fedoraproject.org/rpms/ghc-bugzilla-redhat"
"bustle","0.7.5","https://src.fedoraproject.org/rpms/bustle"
"byteable","0.1.1","https://src.fedoraproject.org/rpms/ghc-byteable"
"byteorder","1.0.4","https://src.fedoraproject.org/rpms/ghc-byteorder"
"bytestring","0.10.10.1","https://src.fedoraproject.org/rpms/ghc"
"bytestring-nums","0.3.6","https://src.fedoraproject.org/rpms/ghc-bytestring-nums"
"bytestring-show","0.3.5.6","https://src.fedoraproject.org/rpms/ghc-bytestring-show"
"bytestring-trie","0.2.5.0","https://src.fedoraproject.org/rpms/ghc-bytestring-trie"
"cab","0.2.18","https://src.fedoraproject.org/rpms/cab"
"cabal-doctest","1.0.8","https://src.fedoraproject.org/rpms/ghc-cabal-doctest"
"cabal-file-th","0.2.7","https://src.fedoraproject.org/rpms/ghc-cabal-file-th"
"cabal-helper","1.1.0.0","https://src.fedoraproject.org/rpms/ghc-cabal-helper"
"cabal-install","3.0.0.0","https://src.fedoraproject.org/rpms/cabal-install"
"cabal-plan","0.7.0.0","https://src.fedoraproject.org/rpms/ghc-cabal-helper"
"cabal-rpm","2.0.9","https://src.fedoraproject.org/rpms/cabal-rpm"
"cairo","0.13.8.1","https://src.fedoraproject.org/rpms/ghc-cairo"
"call-stack","0.2.0","https://src.fedoraproject.org/rpms/ghc-call-stack"
"casa-client","0.0.1","https://src.fedoraproject.org/rpms/haskell-platform"
"casa-types","0.0.1","https://src.fedoraproject.org/rpms/haskell-platform"
"case-insensitive","1.2.1.0","https://src.fedoraproject.org/rpms/ghc-case-insensitive"
"cassava","0.5.2.0","https://src.fedoraproject.org/rpms/ghc-cassava"
"cassava-megaparsec","2.0.1","https://src.fedoraproject.org/rpms/ghc-hledger-lib"
"cautious-file","1.0.2","https://src.fedoraproject.org/rpms/ghc-cautious-file"
"cborg","0.2.4.0","https://src.fedoraproject.org/rpms/ghc-cborg"
"cborg-json","0.2.2.0","https://src.fedoraproject.org/rpms/ghc-cborg-json"
"cereal","0.5.8.1","https://src.fedoraproject.org/rpms/ghc-cereal"
"chalmers-lava2000","1.6.1","https://src.fedoraproject.org/rpms/ghc-chalmers-lava2000"
"charset","0.3.7.1","https://src.fedoraproject.org/rpms/ghc-language-ecmascript"
"cheapskate","0.1.1.2","https://src.fedoraproject.org/rpms/ghc-cheapskate"
"chunked-data","0.3.1","https://src.fedoraproject.org/rpms/ghc-chunked-data"
"cipher-aes","0.2.11","https://src.fedoraproject.org/rpms/ghc-cipher-aes"
"clientsession","0.9.1.2","https://src.fedoraproject.org/rpms/ghc-clientsession"
"clock","0.8","https://src.fedoraproject.org/rpms/ghc-clock"
"cmark","0.6","https://src.fedoraproject.org/rpms/ghc-cmark"
"cmark-gfm","0.2.2","https://src.fedoraproject.org/rpms/ghc-cmark-gfm"
"cmdargs","0.10.20","https://src.fedoraproject.org/rpms/ghc-cmdargs"
"code-page","0.2","https://src.fedoraproject.org/rpms/ghc-code-page"
"codec-rpm","0.2.2","https://src.fedoraproject.org/rpms/ghc-codec-rpm"
"colour","2.3.5","https://src.fedoraproject.org/rpms/ghc-colour"
"comonad","5.0.6","https://src.fedoraproject.org/rpms/ghc-comonad"
"concatenative","1.0.1","https://src.fedoraproject.org/rpms/ghc-concatenative"
"concurrent-extra","0.7.0.12","https://src.fedoraproject.org/rpms/ghc-concurrent-extra"
"concurrent-output","1.10.12","https://src.fedoraproject.org/rpms/ghc-concurrent-output"
"cond","0.4.1.1","https://src.fedoraproject.org/rpms/ghc-cond"
"conduit","1.3.2","https://src.fedoraproject.org/rpms/ghc-conduit"
"conduit-extra","1.3.5","https://src.fedoraproject.org/rpms/ghc-conduit-extra"
"config-ini","0.2.4.0","https://src.fedoraproject.org/rpms/ghc-config-ini"
"connection","0.3.1","https://src.fedoraproject.org/rpms/ghc-connection"
"constraints","0.11.2","https://src.fedoraproject.org/rpms/ghc-shelly"
"containers","0.6.2.1","https://src.fedoraproject.org/rpms/ghc"
"contravariant","1.5.2","https://src.fedoraproject.org/rpms/ghc-contravariant"
"control-monad-free","0.6.2","https://src.fedoraproject.org/rpms/ghc-control-monad-free"
"cookie","0.4.5","https://src.fedoraproject.org/rpms/ghc-cookie"
"cpio-conduit","0.7.0","https://src.fedoraproject.org/rpms/ghc-cpio-conduit"
"cpphs","1.20.9.1","https://src.fedoraproject.org/rpms/cpphs"
"cprng-aes","0.6.1","https://src.fedoraproject.org/rpms/ghc-cprng-aes"
"criterion","1.5.6.2","https://src.fedoraproject.org/rpms/ghc-criterion"
"criterion-measurement","0.1.2.0","https://src.fedoraproject.org/rpms/ghc-criterion"
"crypto-api","0.13.3","https://src.fedoraproject.org/rpms/ghc-crypto-api"
"crypto-cipher-types","0.0.9","https://src.fedoraproject.org/rpms/ghc-crypto-cipher-types"
"crypto-pubkey-types","0.4.3","https://src.fedoraproject.org/rpms/ghc-crypto-pubkey-types"
"crypto-random","0.0.9","https://src.fedoraproject.org/rpms/ghc-crypto-random"
"cryptohash","0.11.9","https://src.fedoraproject.org/rpms/ghc-cryptohash"
"cryptohash-md5","0.11.100.1","https://src.fedoraproject.org/rpms/ghc-cryptohash-md5"
"cryptohash-sha1","0.11.100.1","https://src.fedoraproject.org/rpms/ghc-cryptohash-sha1"
"cryptohash-sha256","0.11.101.0","https://src.fedoraproject.org/rpms/ghc-cryptohash-sha256"
"cryptonite","0.26","https://src.fedoraproject.org/rpms/ghc-cryptonite"
"cryptonite-conduit","0.2.2","https://src.fedoraproject.org/rpms/ghc-cryptonite-conduit"
"css-text","0.1.3.0","https://src.fedoraproject.org/rpms/ghc-css-text"
"csv","0.1.2","https://src.fedoraproject.org/rpms/ghc-csv"
"curl","1.3.8","https://src.fedoraproject.org/rpms/ghc-curl"
"darcs","2.14.4","https://src.fedoraproject.org/rpms/darcs"
"data-accessor","0.2.3","https://src.fedoraproject.org/rpms/ghc-data-accessor"
"data-binary-ieee754","0.4.4","https://src.fedoraproject.org/rpms/ghc-data-binary-ieee754"
"data-clist","0.1.2.3","https://src.fedoraproject.org/rpms/ghc-data-clist"
"data-default","0.7.1.1","https://src.fedoraproject.org/rpms/ghc-data-default"
"data-default-class","0.1.2.0","https://src.fedoraproject.org/rpms/ghc-data-default-class"
"data-default-instances-containers","0.0.1","https://src.fedoraproject.org/rpms/ghc-data-default-instances-containers"
"data-default-instances-dlist","0.0.1","https://src.fedoraproject.org/rpms/ghc-data-default-instances-dlist"
"data-default-instances-old-locale","0.0.1","https://src.fedoraproject.org/rpms/ghc-data-default-instances-old-locale"
"data-fix","0.2.1","https://src.fedoraproject.org/rpms/ghc-data-fix"
"data-hash","0.2.0.1","https://src.fedoraproject.org/rpms/ghc-data-hash"
"data-inttrie","0.1.4","https://src.fedoraproject.org/rpms/ghc-data-inttrie"
"data-memocombinators","0.5.1","https://src.fedoraproject.org/rpms/ghc-data-memocombinators"
"data-ordlist","0.4.7.0","https://src.fedoraproject.org/rpms/darcs"
"data-reify","0.6.1","https://src.fedoraproject.org/rpms/ghc-data-reify"
"dataenc","0.14.0.7","https://src.fedoraproject.org/rpms/ghc-dataenc"
